,recordid,content,attitude
1,221591,本来气候问题就是忽悠发展中国家去工业化的(╯3╰),2
2,221595,你们不觉得空气质量越来越差了吗……？,1
3,221603,这个法国总统就是垃圾。试目以待。现在看起来支持的人最多。但他走的路可并不是光明的。,4
4,221605,不懂弹幕为啥嘲讽马克龙，要是勒庞那个极右上台，你以为黄种人对他们来说跟穆斯林有区别么，法国的亚裔不会遭殃吗,4
5,221606,(-_-#)美国人的确需要环保了，人均资源消耗量是中国的数倍,3
6,221610,热评的小学生言论还这么多赞，人家一家人讨论个东西各有自己的看法，就想着人家闹乱子了？西方的大政策永远都是美国说了算的，你要是在军事外交大方向上不和美国保持一致还想上台当总统？,4
7,221614,气候问题我还是有一点涉猎，文献资料也看过不少。不过真的说不清碳排放究竟有多大影响，至少没有直接的量化研究。而且这里面政治因素太多。,2
8,221629,最好的结局：美法相争，中国得利,4
9,221638,现在“环保”已经是涉及一种新的自然崇拜与唯科学的思想了，其政治与经济利益的驱动早就超越了环境保护人类持续的定义，代替以，为了地球维持某种环境而必须反对人类权利的信条。,1
10,221646,中国的一些人成天嘲笑什么法兰西斯坦，好像懂得很多。如果法国右翼新纳粹上台，拿着核武、航母和世界前列的军事和经济搞事，到时你们就明白温和派的好处了。,4
11,221747,说太阳黑子运动导致气温变化，全球变暖导致冰川融化海平面上升我还算有点信，说碳排放导致温室效应我是不信的。全世界几百个国家正真实现工业化的其实并不多，而且地球只有十分之三是陆地，大部分是海洋，这点排量就想给整个地球形成温室？希望你们这些气候研究员多研究研究洋流气流运动、臭氧层空洞等等，不要整天吹嘘二氧化碳排放,2
12,221749,疯狂发展破坏了生态照样活不下去，大忽悠以为谁都愿意被他忽悠啊눈_눈,2
13,221751,巴黎气候大会，中国让步很多。本该发达国家承担的义务，中国也承担了不少。才换来了美国碳减排。如果美国退出的话。中国碳减排承诺还要做吗？是不是中国的让步就白费了？所以这点我支持马克龙。,3
14,221781,选了马克龙是政治正确，但也表示衰落还在继续;干嘛不选阿姨呢，拼一把，改革一下，说不定法国就是世界第一强国了。,4
15,221784,我们也不玩儿，我们承诺减排其实是有顺水推舟的意思，全球变暖是事实，但是被夸大也是事实，被人利用更是事实。特朗普要振兴制造业，要回迁很多产业，必然会增加碳排放。作为世界老大，怎么会让别人薅自己的羊毛,2
16,221799,法国人的英语是真的。。无语,4
17,221815,对内的医保法案之类的也就罢了  在国际上签署的协议也能说费就费？  这已经不只是任性的问题了吧,3
18,407442,这种人是不受欢迎的人类，禁止它过境中国。,2
19,407446,干预全球变暖的本事没有，借着全球变暖敛财的本事还是有的，而且很大,2
20,407449,人类活动就是气候变化的主要原因，但这个原因全都是发达国家的锅,2
21,407452,所以，她到底如何看待日本向海洋排放核污水的呢？,4
22,407457,气候变暖是真实而又“不可逆的，过去几万亿年里气候确实存在高低温度的波动，但是在1500（大概第一次工业革命后）到现在的这500年气候上升的速度增加了非常非常多。。。也就是说我们要几百年时间经历过去几百万年才能达到的高温气候，这种高温会导致大量动植物灭绝，因为几百万年的变温动物还能靠突变适应，几百年那只能靠人为保护了,1
23,407459,人类活动无疑是导致气候变暖的一个重要因素，但是从地质学尺度上讲，现在的地球其实正处于两个冰期间的间冰期，远没有到平均温度远没达到历史高位，甚至中高位都没有。只是这种气候变化对我们人类生存影响确实很大，保护地球是个伪命题，其实只是保护我们人类自己罢了。,1
24,407460,其实你换一个角度看，西方那些政客好事占尽，坏事干尽，永贝里在那个大环境下，她说的话有其正确性,1
